               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.030893,            0.026156,            0.010991,             0.54445,             0.55366,             0.51529,             0.33291,            0.033572,            0.014229,            0.014353,            0.008416,            0.008416,            0.008416
                  50,             0.03122,            0.026009,            0.011231,             0.53548,             0.56845,             0.53086,             0.34051,            0.032743,            0.014285,            0.013302,            0.008383,            0.008383,            0.008383
                  51,            0.031052,            0.025833,            0.010357,             0.56083,             0.57005,             0.53983,             0.34911,            0.033029,            0.014305,            0.013334,             0.00835,             0.00835,             0.00835
                  52,             0.03144,            0.025241,            0.010291,             0.55858,             0.56644,             0.53216,             0.34445,             0.03299,            0.014388,              0.0145,            0.008317,            0.008317,            0.008317
                  53,            0.031319,            0.025645,             0.01049,             0.57529,             0.54629,             0.54247,             0.35072,             0.03288,            0.014112,            0.013858,            0.008284,            0.008284,            0.008284
                  54,            0.030841,            0.025903,            0.010602,             0.57388,             0.56958,             0.53971,             0.35089,            0.032836,            0.014374,            0.014144,            0.008251,            0.008251,            0.008251
                  55,            0.031103,            0.025178,            0.010954,             0.55805,             0.57851,             0.53702,              0.3552,            0.032883,            0.014328,            0.014826,            0.008218,            0.008218,            0.008218
                  56,            0.030352,            0.024884,            0.010216,             0.56675,             0.57035,             0.54296,             0.35576,            0.032625,            0.014284,            0.014051,            0.008185,            0.008185,            0.008185
                  57,            0.031323,            0.025184,            0.010534,             0.56636,             0.56612,             0.53547,             0.35273,            0.032883,            0.014443,            0.014667,            0.008152,            0.008152,            0.008152
                  58,            0.030609,            0.025111,            0.010083,             0.58345,             0.57519,              0.5497,             0.36443,             0.03281,            0.014208,            0.014405,            0.008119,            0.008119,            0.008119
                  59,            0.030186,            0.025018,            0.011186,              0.5934,             0.56535,             0.54841,             0.36243,            0.032276,            0.014284,            0.014265,            0.008086,            0.008086,            0.008086
                  60,            0.029828,            0.025255,           0.0099932,             0.59284,              0.5518,             0.54588,             0.36424,            0.032816,            0.014229,            0.014467,            0.008053,            0.008053,            0.008053
                  61,            0.029898,            0.024837,           0.0099709,             0.59472,             0.56822,             0.54878,             0.36547,            0.032728,            0.014139,            0.013705,             0.00802,             0.00802,             0.00802
                  62,            0.029591,            0.024591,           0.0092557,             0.58023,             0.57204,             0.54514,             0.36232,             0.03285,            0.014322,            0.013977,            0.007987,            0.007987,            0.007987
                  63,            0.030138,            0.024913,            0.010023,             0.59557,             0.56148,             0.54915,              0.3666,             0.03292,            0.014298,            0.013851,            0.007954,            0.007954,            0.007954
                  64,            0.029599,            0.024122,           0.0095743,             0.56893,             0.57689,             0.54988,             0.37003,            0.032973,            0.014324,            0.013911,            0.007921,            0.007921,            0.007921
                  65,            0.029366,             0.02465,           0.0098355,             0.58501,             0.57656,             0.55227,             0.36755,            0.032856,             0.01428,            0.013482,            0.007888,            0.007888,            0.007888
                  66,            0.029665,            0.024879,            0.010103,             0.59887,             0.58121,             0.56118,             0.37295,            0.032543,            0.014318,            0.013438,            0.007855,            0.007855,            0.007855
                  67,            0.029331,            0.024849,           0.0092171,             0.59451,             0.57207,             0.56187,             0.37798,            0.032886,            0.014184,            0.013817,            0.007822,            0.007822,            0.007822
                  68,            0.028772,             0.02416,           0.0098666,             0.58014,             0.58527,             0.56274,             0.37856,            0.032924,            0.014313,            0.014122,            0.007789,            0.007789,            0.007789
                  69,            0.029055,            0.023867,           0.0097639,              0.5744,             0.58871,             0.56603,              0.3796,            0.032637,            0.014267,             0.01381,            0.007756,            0.007756,            0.007756
                  70,            0.028944,            0.024434,           0.0094117,             0.59542,             0.58139,             0.56546,             0.37962,            0.032658,            0.014294,            0.013487,            0.007723,            0.007723,            0.007723
                  71,            0.028642,            0.023767,            0.009188,             0.60753,             0.58723,             0.56487,             0.37757,            0.032765,            0.014435,            0.013628,             0.00769,             0.00769,             0.00769
                  72,            0.028721,            0.023899,           0.0089247,             0.59124,              0.5877,             0.56758,             0.38162,            0.032722,            0.014441,            0.013758,            0.007657,            0.007657,            0.007657
                  73,            0.028435,            0.024044,           0.0095519,             0.60108,              0.5805,             0.56933,             0.37953,            0.032757,            0.014478,            0.013892,            0.007624,            0.007624,            0.007624
